year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1981,b) 5 to 9,718527,739151,5107860,5063662,39177,5.325,32414,4.405,1165478,487196,678282,9.621,23.017,1077722,392510,685212,7.752,21.283,87756,1.733,42.567,24773,26133,328196
1981,c) 10 to 19,426246,465308,6026105,5979927,18794,4.055,15077,3.253,1174339,423075,751264,7.075,19.638,1081121,329929,751192,5.517,18.079,93218,1.559,36.158,10216,11256,274234
1981,d) 20 to 99,342912,471728,13737076,13623798,23352,4.993,15202,3.251,2336576,747205,1589371,5.485,17.151,2107738,525330,1582408,3.856,15.471,228838,1.680,30.942,5282,6696,372044
1981,e) 100 to 499,52155,189044,9956869,9895026,15335,8.242,9343,5.022,1518038,474730,1043308,4.798,15.341,1391853,309671,1082182,3.130,14.066,126185,1.275,28.132,338,891,113729
1981,f) 500 to 999,6019,58113,3633304,3598153,5588,9.846,2873,5.062,517898,168532,349366,4.684,14.393,445113,105486,339627,2.932,12.371,72785,2.023,24.741,13,240,18457
1981,g) 1000 to 2499,3899,72861,4927094,4894138,6961,9.768,3770,5.290,600476,196763,403713,4.020,12.269,535213,136783,398430,2.795,10.936,65263,1.333,21.872,8,25,26597
1981,h) 2500 to 4999,1518,62152,3722264,3709375,6202,10.270,2679,4.436,431331,145177,286154,3.914,11.628,403835,79717,324118,2.149,10.887,27496,0.741,21.774,0,0,0
1981,i) 5000 to 9999,915,63900,3875540,3848382,5820,9.313,3012,4.820,449086,142802,306284,3.711,11.669,394215,85973,308242,2.234,10.244,54871,1.426,20.487,D,D,D
1981,j) 10000+,890,254818,19528488,19573617,19113,7.557,15303,6.051,2169828,619906,1549922,3.167,11.085,2261515,478497,1783018,2.445,11.554,-91687,-0.468,22.171,0,0,0
1982,a) 1 to 4,2207384,2216067,5265300,5264210,438848,19.735,454034,20.418,1797008,1145127,651881,21.753,34.136,1793074,1137291,655783,21.604,34.062,3934,0.075,68.123,360859,362370,931822
1982,b) 5 to 9,720275,740966,5062419,5088951,39504,5.340,37138,5.020,1121572,448284,673288,8.809,22.039,1173781,432969,740812,8.508,23.065,-52209,-1.026,44.079,27521,28648,365836
1982,c) 10 to 19,424707,463378,5923288,5957803,20250,4.373,19700,4.254,1137391,393984,743407,6.613,19.091,1205328,376379,828949,6.317,20.231,-67937,-1.140,38.182,11501,12601,308958
1982,d) 20 to 99,339861,470962,13514777,13548261,20157,4.289,18113,3.854,2292522,651911,1640611,4.812,16.921,2361020,589007,1772013,4.347,17.427,-68498,-0.506,33.842,6179,7722,439731
1982,e) 100 to 499,52246,195479,10007151,9972403,12675,6.559,8206,4.246,1551526,413010,1138516,4.142,15.558,1484118,301170,1182948,3.020,14.882,67408,0.676,29.765,413,1025,134737
1982,f) 500 to 999,5893,61094,3588475,3571728,4502,7.468,2877,4.773,463535,110341,353194,3.089,12.978,429426,88196,341230,2.469,12.023,34109,0.955,24.046,13,62,17910
1982,g) 1000 to 2499,3961,76737,5084015,5045912,6008,7.916,4321,5.694,597093,176887,420206,3.506,11.833,519068,121628,397440,2.410,10.287,78025,1.546,20.574,7,8,22954
1982,h) 2500 to 4999,1499,59914,3685785,3683605,4764,8.060,3148,5.326,435168,135689,299479,3.684,11.814,427155,101409,325746,2.753,11.596,8013,0.218,23.192,0,0,0
1982,i) 5000 to 9999,913,69173,3994587,4005582,5876,8.585,4422,6.461,471243,163918,307325,4.092,11.765,494204,128551,365653,3.209,12.338,-22961,-0.573,23.529,0,0,0
1982,j) 10000+,968,263289,18848042,19192208,22647,8.655,19412,7.418,1989664,585613,1404051,3.051,10.367,2670921,580853,2090068,3.027,13.917,-681257,-3.550,20.734,0,0,0
1983,a) 1 to 4,2286679,2295150,5451447,5327641,490140,21.772,402272,17.869,1876836,1267449,609387,23.790,35.228,1628535,1019396,609139,19.134,30.568,248301,4.661,61.135,319519,321061,839449
1983,b) 5 to 9,731750,752990,5176241,5145770,39689,5.294,33066,4.411,1122181,467285,654896,9.081,21.808,1061906,399332,662574,7.760,20.636,60275,1.171,41.273,25810,27152,342420
1983,c) 10 to 19,424817,466102,5947701,5950287,19650,4.225,17514,3.766,1110240,398774,711466,6.702,18.659,1115638,355738,759900,5.979,18.749,-5398,-0.091,37.317,11170,12510,300038
1983,d) 20 to 99,337259,471283,13351367,13394551,22319,4.745,20466,4.351,2225464,660013,1565451,4.927,16.615,2308992,597187,1711805,4.458,17.238,-83528,-0.624,33.229,6086,8137,432497
1983,e) 100 to 499,51990,195909,9786777,9853370,14311,7.324,13280,6.797,1537108,438345,1098763,4.449,15.600,1669047,372407,1296640,3.779,16.939,-131939,-1.339,31.200,403,1132,132456
1983,f) 500 to 999,6111,61289,3549454,3581719,4676,7.653,4301,7.039,477643,129744,347899,3.622,13.336,542490,107584,434906,3.004,15.146,-64847,-1.810,26.671,5,5,6796
1983,g) 1000 to 2499,4009,75776,4965366,4967397,6375,8.453,5654,7.497,619144,214901,404243,4.326,12.464,623517,147004,476513,2.959,12.552,-4373,-0.088,24.928,5,6,16057
1983,h) 2500 to 4999,1589,60496,3628247,3681547,4858,8.090,3962,6.598,432423,138949,293474,3.774,11.746,540363,120621,419742,3.276,14.678,-107940,-2.932,23.491,D,D,D
1983,i) 5000 to 9999,991,68080,3931966,3978800,5018,7.367,5091,7.474,498030,141295,356735,3.551,12.517,589431,154162,435269,3.875,14.814,-91401,-2.297,25.034,D,D,D
1983,j) 10000+,1082,265824,18252619,18620097,17574,6.537,23632,8.790,2283351,562467,1720884,3.021,12.263,3032584,834935,2197649,4.484,16.287,-749233,-4.024,24.526,0,0,0
1984,a) 1 to 4,2392619,2400928,5831950,5522548,556464,23.955,400488,17.241,2186046,1462840,723206,26.488,39.584,1563176,1010458,552718,18.297,28.305,622870,11.279,56.611,322877,324649,839069
1984,b) 5 to 9,760868,783026,5548218,5343056,41160,5.286,32388,4.160,1356657,512904,843753,9.599,25.391,947057,387198,559859,7.247,17.725,409600,7.666,35.450,24954,26357,331451
1984,c) 10 to 19,439286,481058,6391255,6160007,18395,3.832,16429,3.422,1389171,418161,971010,6.788,22.551,926322,342857,583465,5.566,15.038,462849,7.514,30.075,10836,12232,291698
1984,d) 20 to 99,349506,483483,14471020,13894779,19911,4.132,16657,3.457,2879819,662018,2217801,4.765,20.726,1727451,547577,1179874,3.941,12.432,1152368,8.294,24.865,5683,7159,402976
1984,e) 100 to 499,53922,201449,10598036,10224565,14727,7.387,10579,5.306,1923433,425599,1497834,4.163,18.812,1175351,317227,858124,3.103,11.495,748082,7.317,22.991,381,695,128014
1984,f) 500 to 999,6119,64384,3825974,3699141,5200,8.181,3560,5.601,609692,159008,450684,4.299,16.482,357400,86980,270420,2.351,9.662,252292,6.820,19.323,9,9,12370
1984,g) 1000 to 2499,4032,79425,5188871,5074252,7030,9.005,4310,5.521,685129,192762,492367,3.799,13.502,460213,112849,347364,2.224,9.070,224916,4.432,18.139,6,25,16748
1984,h) 2500 to 4999,1621,60717,3870486,3773066,5274,8.841,3152,5.284,576614,168385,408229,4.463,15.282,381446,105495,275951,2.796,10.110,195168,5.173,20.219,3,3,21529
1984,i) 5000 to 9999,949,70118,3992122,3929030,5867,8.516,3412,4.953,515330,144724,370606,3.683,13.116,388346,87715,300631,2.232,9.884,126984,3.232,19.768,0,0,0
1984,j) 10000+,979,279928,18955181,18655908,25026,9.047,18429,6.662,2657307,961614,1695693,5.154,14.244,2051634,634231,1417403,3.400,10.997,605673,3.247,21.994,D,D,D
1985,a) 1 to 4,2400458,2408357,5867642,5690597,540382,22.788,466461,19.670,2151187,1433565,717622,25.192,37.802,1792363,1197329,595034,21.040,31.497,358824,6.306,62.994,375279,377467,992169
1985,b) 5 to 9,788312,809866,5689266,5585669,42865,5.300,40630,5.024,1350059,534614,815445,9.571,24.170,1143043,499915,643128,8.950,20.464,207016,3.706,40.928,31998,33653,425578
1985,c) 10 to 19,456294,496174,6559144,6451005,19670,3.961,20601,4.148,1369420,439725,929695,6.816,21.228,1152982,471392,681590,7.307,17.873,216438,3.355,35.746,14699,16244,397929
1985,d) 20 to 99,365466,496030,14977949,14723388,18276,3.682,18885,3.805,2769871,689359,2080512,4.682,18.813,2260226,840833,1419393,5.711,15.351,509645,3.461,30.703,8936,11085,653948
1985,e) 100 to 499,57059,208700,11207795,10921257,14556,7.045,10388,5.028,1986161,456615,1529546,4.181,18.186,1413116,455714,957402,4.173,12.939,573045,5.247,25.878,713,1679,247891
1985,f) 500 to 999,6418,64677,3981896,3887803,5771,9.025,4309,6.738,673828,182133,491695,4.685,17.332,482641,150317,332324,3.866,12.414,191187,4.918,24.828,38,489,51559
1985,g) 1000 to 2499,4206,83155,5486426,5383757,7917,9.647,5736,6.990,776901,208026,568875,3.864,14.430,567461,178926,388535,3.323,10.540,209440,3.890,21.080,12,91,35011
1985,h) 2500 to 4999,1583,59653,3800398,3751801,5359,9.107,3745,6.364,553551,184683,368868,4.923,14.754,455394,147882,307512,3.942,12.138,98157,2.616,24.276,D,D,D
1985,i) 5000 to 9999,975,76510,4215857,4164030,6352,8.377,4991,6.582,601901,220095,381806,5.286,14.455,497879,137605,360274,3.305,11.957,104022,2.498,23.913,0,0,0
1985,j) 10000+,1018,283099,19788749,19576510,21775,7.646,25176,8.840,2676950,809872,1867078,4.137,13.674,2262935,773778,1489157,3.953,11.559,414015,2.115,23.119,0,0,0
1986,a) 1 to 4,2432873,2441541,5940423,5774020,539310,22.479,454637,18.949,2146811,1437055,709756,24.888,37.181,1809759,1190374,619385,20.616,31.343,337052,5.837,62.686,362469,364405,976520
1986,b) 5 to 9,813098,835356,5841568,5731036,46948,5.648,38715,4.658,1376470,554902,821568,9.682,24.018,1155367,479735,675632,8.371,20.160,221103,3.858,40.320,30796,32181,409299
1986,c) 10 to 19,474542,515897,6780570,6646330,25546,4.985,18769,3.662,1431643,498760,932883,7.504,21.540,1163021,421266,741755,6.338,17.499,268622,4.042,34.997,13351,14944,359227
1986,d) 20 to 99,382844,520556,15604762,15291110,33238,6.464,20606,4.007,3038132,935026,2103106,6.115,19.869,2410058,732429,1677629,4.790,15.761,628074,4.107,31.522,7481,9664,541846
1986,e) 100 to 499,59038,208495,11293986,11163553,16306,7.880,13167,6.363,2015754,546863,1468891,4.899,18.057,1753388,440983,1312405,3.950,15.706,262366,2.350,31.413,589,1162,200072
1986,f) 500 to 999,6728,68065,4072878,4043288,6731,10.102,3864,5.799,643506,190317,453189,4.707,15.915,582528,138227,444301,3.419,14.407,60978,1.508,28.815,26,196,33555
1986,g) 1000 to 2499,4357,85566,5627697,5508030,8585,10.246,5036,6.010,898234,290202,608032,5.269,16.308,654623,148035,506588,2.688,11.885,243611,4.423,23.770,9,62,23730
1986,h) 2500 to 4999,1769,64268,4166721,4070487,6008,9.489,4102,6.479,670131,181368,488763,4.456,16.463,477252,101592,375660,2.496,11.725,192879,4.738,23.449,0,0,0
1986,i) 5000 to 9999,1039,77291,4307714,4250768,6376,8.293,5563,7.236,590363,166783,423580,3.924,13.888,477196,137310,339886,3.230,11.226,113167,2.662,22.452,D,D,D
1986,j) 10000+,1062,295691,20283741,20206066,22582,7.679,19353,6.581,2412227,756013,1656214,3.742,11.938,2258334,579390,1678944,2.867,11.177,153893,0.762,22.353,0,0,0
1987,a) 1 to 4,2459506,2467251,6006990,5858363,545966,22.473,470369,19.361,2174530,1451770,722760,24.781,37.118,1875711,1235610,640101,21.091,32.018,298819,5.101,64.035,378865,380737,1023262
1987,b) 5 to 9,830142,851097,5965350,5866986,49412,5.819,45406,5.348,1424803,572655,852148,9.761,24.285,1229144,521172,707972,8.883,20.950,195659,3.335,41.900,33036,34464,437960
1987,c) 10 to 19,486305,527553,6938641,6833818,27019,5.129,25439,4.829,1498981,521495,977486,7.631,21.935,1290178,490326,799852,7.175,18.879,208803,3.055,37.759,14966,16265,402381
1987,d) 20 to 99,390736,537774,15987967,15725060,33327,6.243,25484,4.774,3185036,988531,2196505,6.286,20.255,2662919,856455,1806464,5.446,16.934,522117,3.320,33.868,8822,11017,641245
1987,e) 100 to 499,61824,223924,12091144,11803751,21874,9.937,14270,6.483,2426970,833742,1593228,7.063,20.561,1855898,527399,1328499,4.468,15.723,571072,4.838,31.446,739,1683,253654
1987,f) 500 to 999,7186,70791,4309538,4204406,6952,9.991,4541,6.526,794510,317520,476990,7.552,18.897,583090,170744,412346,4.061,13.869,211420,5.029,27.737,27,244,36943
1987,g) 1000 to 2499,4501,85836,5764859,5761168,9571,11.370,6257,7.433,915637,385988,529649,6.700,15.893,906735,217379,689356,3.773,15.739,8902,0.155,31.477,10,274,27198
1987,h) 2500 to 4999,1850,72208,4226622,4249211,7360,10.366,4942,6.961,633917,237007,396910,5.578,14.918,681338,178159,503179,4.193,16.034,-47421,-1.116,29.837,D,D,D
1987,i) 5000 to 9999,1131,81835,4474696,4495630,8605,10.678,6108,7.579,640076,240450,399626,5.349,14.238,678500,190881,487619,4.246,15.092,-38424,-0.855,28.475,0,0,0
1987,j) 10000+,1106,306200,20120312,20245464,30312,9.975,25681,8.451,2634618,970207,1664411,4.792,13.013,2881796,894242,1987554,4.417,14.234,-247178,-1.221,26.027,0,0,0
1988,a) 1 to 4,2492804,2500116,6076440,5936890,539323,21.905,463294,18.817,2150762,1425892,724870,24.017,36.227,1869480,1191799,677681,20.074,31.489,281282,4.738,62.978,371667,373643,984970
1988,b) 5 to 9,849606,870357,6095348,6001288,46402,5.355,38728,4.469,1392289,545378,846911,9.088,23.200,1204366,474499,729867,7.907,20.068,187923,3.131,40.137,30786,32418,408366
1988,c) 10 to 19,500429,544125,7153985,7041602,23992,4.425,20004,3.690,1456338,484306,972032,6.878,20.682,1232213,434204,798009,6.166,17.499,224125,3.183,34.998,13973,15717,376132
1988,d) 20 to 99,403005,557518,16475521,16218349,32244,5.834,22512,4.073,3062550,894544,2168006,5.516,18.883,2547447,783144,1764303,4.829,15.707,515103,3.176,31.414,8137,10924,595781
1988,e) 100 to 499,64286,237806,12424507,12241192,24743,10.622,14998,6.439,2302562,746802,1555760,6.101,18.810,1933967,560860,1373107,4.582,15.799,368595,3.011,31.598,781,2168,278886
1988,f) 500 to 999,7538,75390,4514921,4449839,8445,11.436,5360,7.258,777551,268828,508723,6.041,17.474,650345,195114,455231,4.385,14.615,127206,2.859,29.230,36,197,49706
1988,g) 1000 to 2499,4766,92449,6113278,5980600,11713,13.049,6345,7.068,1007468,391142,616326,6.540,16.846,739489,248946,490543,4.163,12.365,267979,4.481,24.730,18,153,51424
1988,h) 2500 to 4999,1844,76622,4300386,4230806,8467,11.180,6685,8.827,683784,291400,392384,6.888,16.162,544318,192586,351732,4.552,12.866,139466,3.296,25.731,3,119,20790
1988,i) 5000 to 9999,1094,78809,4615053,4607495,8490,10.866,7144,9.143,712470,256100,456370,5.558,15.463,696474,233713,462761,5.072,15.116,15996,0.347,30.232,D,D,D
1988,j) 10000+,986,326146,20633083,20500285,35388,10.996,26728,8.305,2845291,953375,1891916,4.651,13.879,2587188,785699,1801489,3.833,12.620,258103,1.259,25.241,0,0,0
1989,a) 1 to 4,2518712,2526977,6126283,5987929,529633,21.259,458446,18.401,2135277,1406652,728625,23.491,35.660,1856930,1186920,670010,19.822,31.011,278347,4.648,62.022,373195,375368,995634
1989,b) 5 to 9,865918,888218,6215103,6109767,45486,5.138,39768,4.492,1416822,549818,867004,8.999,23.189,1206949,489907,717042,8.018,19.754,209873,3.435,39.509,32377,34401,430200
1989,c) 10 to 19,512503,558208,7331309,7201333,22648,4.066,20190,3.625,1471562,476283,995279,6.614,20.435,1211325,442147,769178,6.140,16.821,260237,3.614,33.642,14368,16812,388050
1989,d) 20 to 99,415673,572559,16998502,16657878,30323,5.331,22712,3.993,3120629,890712,2229917,5.347,18.734,2440032,832314,1607718,4.997,14.648,680597,4.086,29.296,8822,12270,640169
1989,e) 100 to 499,66808,245477,12961542,12676255,21962,9.066,15525,6.408,2270055,649763,1620292,5.126,17.908,1697566,526055,1171511,4.150,13.392,572489,4.516,26.783,698,2466,233872
1989,f) 500 to 999,7759,79090,4651716,4556642,8321,10.745,5016,6.477,720116,229171,490945,5.029,15.804,527700,156665,371035,3.438,11.581,192416,4.223,23.162,24,287,33475
1989,g) 1000 to 2499,5055,97679,6437366,6302032,10693,11.203,6235,6.532,942840,302654,640186,4.802,14.961,676077,207379,468698,3.291,10.728,266763,4.233,21.456,17,149,46456
1989,h) 2500 to 4999,1947,82346,4628776,4539954,8137,10.048,5410,6.680,688293,251508,436785,5.540,15.161,511786,163448,348338,3.600,11.273,176507,3.888,22.546,3,3,18150
1989,i) 5000 to 9999,1122,84354,4775948,4728969,6905,8.212,6374,7.580,685876,226600,459276,4.792,14.504,587068,181061,406007,3.829,12.414,98808,2.089,24.829,0,0,0
